order_id,customer_id,employee_id,order_date,ship_city,ship_state
10001,C0103,5,2025-01-02,East Mary,TN
10002,C0021,3,2025-01-02,Dunnport,NC
10003,C0093,4,2025-01-03,Sharonstad,GA
10004,C0102,2,2025-01-03,Port Jenniferstad,TN
10005,C0068,1,2025-01-04,South Micheleport,NC
10006,C0021,1,2025-01-05,East Jose,TN
10007,C0089,8,2025-01-06,West Benjaminmouth,VA
10008,C0074,8,2025-01-08,Guerreroburgh,NC
10009,C0002,2,2025-01-09,Wendyville,NC
10010,C0054,10,2025-01-09,South Sharonton,VA
10011,C0029,8,2025-01-10,Danielton,GA
10012,C0082,3,2025-01-10,Lake Margaret,SC
10013,C0063,9,2025-01-11,Chungville,NC
10014,C0018,5,2025-01-12,Johnsonview,VA
10015,C0097,5,2025-01-13,Andersonview,VA
10016,C0064,2,2025-01-16,Bondbury,SC
10017,C0071,7,2025-01-16,Adamston,NC
10018,C0095,7,2025-01-17,Karaborough,TN
10019,C0040,7,2025-01-18,Davisside,TN
10020,C0113,9,2025-01-20,New Kristinaborough,VA
10021,C0031,3,2025-01-20,Clintonbury,VA
10022,C0084,9,2025-01-21,Rachelhaven,TN
10023,C0104,4,2025-01-21,Port Laurenburgh,SC
10024,C0069,6,2025-01-21,South Christinefurt,TN
10025,C0067,4,2025-01-21,Anthonyborough,NC
10026,C0099,8,2025-01-22,North Kimberly,NC
10027,C0103,7,2025-01-23,Stevenbury,GA
10028,C0043,10,2025-01-23,Johnstad,VA
10029,C0013,9,2025-01-24,Jordanfort,NC
10030,C0052,3,2025-01-24,Simonstad,SC
10031,C0097,8,2025-01-24,South Andreafurt,SC
10032,C0072,5,2025-01-24,South Tammyville,GA
10033,C0009,7,2025-01-30,Jensenbury,TN
10034,C0119,8,2025-01-31,Rickyborough,GA
10035,C0043,1,2025-02-02,North Aaron,VA
10036,C0095,3,2025-02-02,Markfurt,NC
10037,C0049,4,2025-02-05,Richardbury,SC
10038,C0024,5,2025-02-07,East Lawrenceberg,SC
10039,C0008,5,2025-02-07,Lake Jenniferview,TN
10040,C0089,10,2025-02-10,Gregorychester,TN
10041,C0112,7,2025-02-10,Kennethport,SC
10042,C0047,6,2025-02-12,West Johnstad,TN
10043,C0050,9,2025-02-13,Lake Williamstad,TN
10044,C0087,1,2025-02-13,Joseshire,TN
10045,C0008,5,2025-02-13,Michelletown,SC
10046,C0036,9,2025-02-14,Christensenland,SC
10047,C0083,9,2025-02-14,New Brenda,SC
10048,C0023,7,2025-02-14,New Dawn,VA
10049,C0041,5,2025-02-15,Port Tonyshire,TN
10050,C0089,9,2025-02-16,Johnland,GA
10051,C0072,3,2025-02-17,Hesschester,NC
10052,C0002,8,2025-02-17,East Ashleyborough,VA
10053,C0080,1,2025-02-18,Lake Kylestad,TN
10054,C0034,3,2025-02-18,New Gracefort,SC
10055,C0117,3,2025-02-19,West Katherinehaven,VA
10056,C0064,7,2025-02-20,Donaldsonchester,VA
10057,C0070,5,2025-02-20,South Theodore,TN
10058,C0108,2,2025-02-20,Victoriamouth,TN
10059,C0078,8,2025-02-21,Davidstad,VA
10060,C0078,8,2025-02-23,South Tony,NC
10061,C0116,9,2025-02-23,New Christina,SC
10062,C0019,4,2025-02-25,Mathewsview,VA
10063,C0039,5,2025-02-27,Brittanymouth,VA
10064,C0038,1,2025-02-27,South Brandyhaven,NC
10065,C0040,4,2025-02-28,North Glenn,NC
10066,C0039,8,2025-03-01,West Patrick,SC
10067,C0086,6,2025-03-02,East Robertfurt,NC
10068,C0018,2,2025-03-05,Allenburgh,TN
10069,C0078,4,2025-03-05,Pamelamouth,SC
10070,C0108,10,2025-03-05,Craigchester,NC
10071,C0040,3,2025-03-07,Barajastown,GA
10072,C0115,8,2025-03-08,Nancychester,NC
10073,C0113,8,2025-03-11,Stoneberg,SC
10074,C0109,10,2025-03-12,New Gregory,VA
10075,C0118,3,2025-03-13,North Colleenville,NC
10076,C0051,3,2025-03-13,Lake Deborahchester,TN
10077,C0120,8,2025-03-13,Andersonhaven,GA
10078,C0065,5,2025-03-14,West Davidstad,VA
10079,C0084,7,2025-03-14,South Alexis,NC
10080,C0104,2,2025-03-16,Johnport,SC
10081,C0100,4,2025-03-17,South Douglas,TN
10082,C0009,9,2025-03-19,Powellland,GA
10083,C0109,9,2025-03-20,East Laurafort,NC
10084,C0059,10,2025-03-21,Lake Matthew,TN
10085,C0072,4,2025-03-22,New Mikeberg,SC
10086,C0058,1,2025-03-25,Justinbury,NC
10087,C0109,9,2025-03-25,Christophertown,VA
10088,C0102,6,2025-03-26,Lake Austin,NC
10089,C0067,7,2025-03-28,Michaelfort,SC
10090,C0051,6,2025-03-29,West Ryan,GA
10091,C0039,1,2025-03-29,Dianabury,VA
10092,C0045,1,2025-03-30,Hinesmouth,TN
10093,C0063,5,2025-04-01,East Victoriaview,GA
10094,C0049,7,2025-04-04,West Stephanieberg,VA
10095,C0020,2,2025-04-04,Gonzalesberg,VA
10096,C0089,1,2025-04-04,Millerview,SC
10097,C0117,5,2025-04-05,East Joshua,VA
10098,C0072,2,2025-04-05,East Christianberg,NC
10099,C0020,1,2025-04-05,South Ashley,GA
10100,C0021,6,2025-04-07,Ramirezchester,NC
10101,C0040,1,2025-04-08,South Mirandatown,SC
10102,C0032,9,2025-04-08,Webbport,GA
10103,C0016,6,2025-04-08,Thompsonside,VA
10104,C0040,10,2025-04-09,Port Chad,NC
10105,C0100,8,2025-04-09,North Kathleenburgh,VA
10106,C0098,8,2025-04-12,Port Karenfort,NC
10107,C0090,2,2025-04-14,Wilsonport,SC
10108,C0031,1,2025-04-16,Youngberg,TN
10109,C0102,6,2025-04-16,South Patricia,VA
10110,C0018,3,2025-04-17,Reedberg,GA
10111,C0111,8,2025-04-19,Nguyenborough,TN
10112,C0102,4,2025-04-20,Gardnerfort,SC
10113,C0094,9,2025-04-20,Burchchester,GA
10114,C0013,6,2025-04-24,North Terriburgh,VA
10115,C0073,5,2025-04-24,New Tracy,NC
10116,C0041,5,2025-04-25,Kellyville,GA
10117,C0084,10,2025-04-27,Port Bryanside,SC
10118,C0036,9,2025-04-27,Rubioshire,NC
10119,C0102,10,2025-04-29,Port Darren,VA
10120,C0037,6,2025-04-30,Port Ryanside,VA
10121,C0020,9,2025-05-02,Quinnfurt,NC
10122,C0088,7,2025-05-02,New Ravenmouth,TN
10123,C0028,4,2025-05-03,Brianberg,GA
