product_id,product_name,category_id,unit_price,discontinued
1,Product 001,3,62.88,0
2,Product 002,8,47.03,0
3,Product 003,6,10.4,0
4,Product 004,3,33.05,0
5,Product 005,2,101.55,0
6,Product 006,7,98.91,0
7,Product 007,4,81.41,0
8,Product 008,5,58.59,0
9,Product 009,5,116.5,0
10,Product 010,3,101.47,0
11,Product 011,3,32.43,0
12,Product 012,8,69.84,1
13,Product 013,7,114.89,0
14,Product 014,7,95.13,0
15,Product 015,2,46.84,0
16,Product 016,3,58.51,0
17,Product 017,1,64.07,0
18,Product 018,8,108.62,1
19,Product 019,6,86.86,0
20,Product 020,2,50.18,0
21,Product 021,7,57.6,0
22,Product 022,7,14.71,0
23,Product 023,3,61.08,0
24,Product 024,6,30.57,0
25,Product 025,1,14.8,0
26,Product 026,4,14.59,0
27,Product 027,5,29.04,0
28,Product 028,1,85.1,0
29,Product 029,7,24.79,0
30,Product 030,8,69.93,0
31,Product 031,6,73.9,0
32,Product 032,5,116.09,0
33,Product 033,8,57.15,0
34,Product 034,4,93.85,0
35,Product 035,4,8.05,0
36,Product 036,3,78.77,0
37,Product 037,4,117.72,0
38,Product 038,6,9.5,0
39,Product 039,4,109.29,1
40,Product 040,3,22.07,0
