order_item_id,order_id,product_id,quantity,unit_price,discount_pct
1,500001,140,3,87.31,0.0
2,500001,71,4,224.92,0.0
3,500001,46,4,133.64,0.0
4,500002,97,1,179.81,0.0
5,500003,71,1,224.92,0.0
6,500003,142,1,"257,50",0.1
7,500003,69,1,372.77,0.0
8,500003,51,1,288.71,0.0
9,500004,76,2,92.47,0.0
10,500005,19,4,298.94,0.2
11,500005,6,3,158.61,0.15
12,500006,116,1,237.31,0.0
13,500007,27,4,108.93,0.15
14,500008,34,4,282.7,0.05
15,500008,49,3,67.27,0.05
16,500008,105,4,184.31,0.0
17,500009,137,4,396.44,0.0
18,500009,38,4,191.3,0.0
19,500010,68,3,85.4,0.05
20,500010,121,4,128.52,0.0
21,500011,113,4,65.61,0.0
22,500012,68,1,80.9,0.1
23,500013,68,1,80.9,0.1
24,500013,75,4,336.61,0.05
25,500013,24,3,193.57,0.05
26,500014,122,3,181.36,0.0
27,500014,41,3,154.17,0.2
28,500014,60,2,330.0,0.05
29,500014,64,3,191.55,0.0
30,500015,123,1,277.7,0.0
31,500015,105,3,184.31,0.0
32,500015,117,1,91.05,0.0
33,500015,44,1,222.05,0.0
34,500016,128,4,304.88,0.05
35,500017,126,4,256.27,0.1
36,500017,17,1,257.35,0.05
37,500018,77,2,226.38,0.15
38,500018,85,4,296.51,0.0
39,500019,3,4,249.04,0.0
40,500019,149,1,177.09,0.0
41,500019,42,1,416.14,0.0
42,500020,76,3,73.98,0.2
43,500020,115,2,179.38,0.15
44,500020,4,3,220.65,0.15
45,500021,93,4,177.74,0.0
46,500022,17,1,257.35,0.05
47,500022,126,4,284.74,0.0
48,500022,97,1,170.82,0.05
49,500023,47,4,243.44,0.05
50,500023,76,3,92.47,0.0
51,500023,136,1,193.79,0.1
52,500023,55,4,128.45,0.2
53,500024,96,1,238.93,0.0
54,500024,121,3,122.09,0.05
55,500024,126,3,284.74,0.0
56,500025,15,4,54.28,0.0
57,500026,57,4,113.48,0.15
58,500026,131,3,357.19,0.0
59,500027,11,3,116.48,0.0
60,500027,78,1,332.92,0.0
61,500027,119,4,273.45,0.15
62,500028,137,3,336.97,0.15
63,500028,150,4,365.07,0.0
64,500028,113,2,65.61,0.0
65,500029,132,4,415.23,0.0
66,500029,138,4,189.62,0.0
67,500029,74,3,222.23,0.0
68,500029,33,2,366.73,0.0
69,500030,31,3,46.58,0.15
70,500030,142,4,257.5,0.1
71,500030,8,2,382.38,0.0
72,500031,24,4,203.76,0.0
73,500031,143,1,149.24,0.0
74,500031,22,4,338.97,0.0
75,500031,8,4,382.38,0.0
76,500032,78,3,282.98,0.15
77,500033,130,3,238.61,0.0
78,500034,73,3,374.9,0.0
79,500034,125,3,171.95,0.0
80,500034,34,1,297.58,0.0
81,500034,89,1,383.21,0.0
82,500035,15,2,54.28,0.0
83,500035,40,3,116.18,0.2
84,500035,2,3,125.07,0.2
85,500036,13,3,261.62,0.0
86,500036,43,2,69.16,0.1
87,500036,22,3,305.07,0.1
88,500036,6,2,186.6,0.0
89,500037,12,1,203.78,0.0
90,500037,67,2,326.48,0.0
91,500037,59,2,263.22,0.0
92,500038,30,4,178.78,0.0
93,500038,139,2,172.31,0.1
94,500038,108,2,316.36,0.0
95,500038,81,3,126.6,0.0
96,500039,52,1,304.27,0.0
97,500039,31,1,43.84,0.2
98,500039,35,4,263.36,0.15
99,500040,24,3,203.76,0.0
100,500040,123,1,263.81,0.05
101,500041,92,3,296.57,0.15
102,500041,46,1,126.96,0.05
103,500041,47,2,256.25,0.0
104,500041,41,2,192.71,0.0
105,500042,112,3,205.29,0.0
