payment_id,order_id,payment_timestamp,payment_method,payment_amount,payment_status
900001,500001,2025-01-01 04:12:20,Visa,1696.17,Paid
900002,500002,2025-01-01 05:20:52,Amex,179.81,Paid
900003,500003,2025-01-01 05:35:42,Visa,1143.9,Paid
900004,500004,2025-01-01 09:01:09,Mastercard,184.94,Refunded
900005,500005,2025-01-01 15:05:38,Mastercard,1671.59,Paid
900006,500006,2025-01-01 16:24:31,Visa,237.31,Paid
900007,500007,2025-01-01 20:35:45,Visa,435.72,Paid
900008,500008,2025-01-01 22:55:02,Visa,2069.85,Paid
900009,500009,2025-01-02 00:41:28,Amex,2350.96,Paid
900010,500010,2025-01-02 05:21:44,Visa,770.28,Paid
900011,500011,2025-01-02 06:51:12,Amex,262.44,Paid
900012,500012,2025-01-02 08:12:37,Mastercard,80.9,Paid
900013,500013,2025-01-02 13:08:06,Visa,2008.05,Paid
900014,500014,2025-01-02 21:17:26,Visa,2241.24,Paid
900015,500015,2025-01-02 23:05:41,Mastercard,1143.73,Paid
900016,500016,2025-01-03 03:43:13,PayPal,1219.52,Paid
900017,500017,2025-01-03 06:52:23,Visa,1282.43,Paid
900018,500018,2025-01-03 11:52:52,PayPal,1638.8,Paid
900019,500019,2025-01-03 12:17:08,Amex,1589.39,Paid
900020,500020,2025-01-03 16:02:26,Mastercard,1242.65,Paid
900021,500021,2025-01-03 17:21:07,Mastercard,710.96,Paid
900022,500022,2025-01-03 19:58:11,Mastercard,1567.13,Paid
900023,500023,2025-01-03 20:54:59,Visa,1958.76,Paid
900024,500024,2025-01-04 03:40:07,Visa,1459.42,Paid
900025,500025,2025-01-04 07:18:14,Visa,217.12,Paid
900026,500026,2025-01-04 11:59:39,Visa,1525.49,Paid
900027,500027,2025-01-04 19:20:41,PayPal,1776.16,Paid
900028,500028,2025-01-05 00:57:24,Mastercard,2602.41,Refunded
900029,500029,2025-01-05 02:57:45,PayPal,3819.55,Paid
900030,500030,2025-01-05 01:35:36,Amex,1934.5,Paid
900031,500031,2025-01-05 04:24:21,Visa,3849.68,Paid
900032,500032,2025-01-05 06:27:57,PayPal,848.94,Paid
900033,500033,2025-01-05 09:06:53,PayPal,715.83,Paid
900034,500034,2025-01-05 11:49:14,Visa,2321.34,Paid
900035,500035,2025-01-05 14:42:16,PayPal,832.31,Paid
900036,500036,2025-01-05 19:53:49,Amex,2211.59,Paid
900037,500037,2025-01-06 06:33:47,Mastercard,1383.18,Paid
900038,500038,2025-01-06 06:53:56,PayPal,2072.26,Paid
900039,500039,2025-01-06 06:56:16,PayPal,1401.55,Paid
900040,500040,2025-01-06 08:23:19,Mastercard,875.09,Paid
900041,500041,2025-01-06 10:01:05,Mastercard,1914.59,Paid
900042,500042,2025-01-06 12:24:39,Amex,1658.95,Paid
900043,500043,2025-01-06 15:42:17,Visa,498.53,Paid
900044,500044,2025-01-06 17:42:56,Mastercard,1044.1,Paid
900045,500045,2025-01-06 22:20:05,Visa,261.42,Paid
900046,500046,2025-01-07 19:26:18,Visa,1982.38,Paid
900047,500047,2025-01-07 20:46:40,Mastercard,726.79,Paid
900048,500048,2025-01-07 20:10:40,Visa,2534.99,Paid
900049,500049,2025-01-08 01:57:34,Mastercard,1786.52,Paid
900050,500050,2025-01-08 08:31:48,Visa,1076.87,Paid
