product_id,sku,product_name,category_id,unit_cost,list_price,active_flag
1,BRO-000001,Outdoor Product 0001,3,114.26,293.34,1
2,BRO-000002,Outdoor Product 0002,5,121.77,156.34,1
3,BRO-000003,Outdoor Product 0003,6,81.35,249.04,1
4,BRO-000004,Outdoor Product 0004,6,136.67,259.59,1
5,BRO-000005,Outdoor Product 0005,4,88.22,205.39,1
6,BRO-000006,Outdoor Product 0006,10,48.89,186.6,1
7,BRO-000007,Outdoor Product 0007,3,91.33,342.59,1
8,BRO-000008,Outdoor Product 0008,9,124.5,382.38,1
9,BRO-000009,Outdoor Product 0009,2,24.1,316.25,1
10,BRO-000010,Outdoor Product 0010,4,132.25,219.49,1
11,BRO-000011,Outdoor Product 0011,4,93.18,116.48,1
12,BRO-000012,Outdoor Product 0012,6,163.02,203.78,1
13,BRO-000013,Outdoor Product 0013,4,95.76,261.62,1
14,BRO-000014,Outdoor Product 0014,7,159.08,266.38,1
15,BRO-000015,Outdoor Product 0015,6,34.56,54.28,1
16,BRO-000016,Outdoor Product 0016,11,26.73,383.0,1
17,BRO-000017,Outdoor Product 0017,12,90.31,270.89,1
18,BRO-000018,Outdoor Product 0018,3,3.64,57.69,1
19,BRO-000019,Outdoor Product 0019,12,90.74,373.68,1
20,BRO-000020,Outdoor Product 0020,11,21.66,374.93,1
21,BRO-000021,Outdoor Product 0021,11,150.39,273.63,1
22,BRO-000022,Outdoor Product 0022,4,137.8,338.97,1
23,BRO-000023,Outdoor Product 0023,4,83.09,237.68,1
24,BRO-000024,Outdoor Product 0024,10,25.73,203.76,1
25,BRO-000025,Outdoor Product 0025,8,146.74,351.7,1
26,BRO-000026,Outdoor Product 0026,7,179.52,224.4,1
27,BRO-000027,Outdoor Product 0027,11,93.94,128.15,1
28,BRO-000028,Outdoor Product 0028,5,62.49,381.45,1
29,BRO-000029,Outdoor Product 0029,6,75.68,313.74,1
30,BRO-000030,Outdoor Product 0030,7,143.02,178.78,1
31,BRO-000031,Outdoor Product 0031,6,38.39,54.8,1
32,BRO-000032,Outdoor Product 0032,6,33.26,111.89,1
33,BRO-000033,Outdoor Product 0033,9,39.66,366.73,1
34,BRO-000034,Outdoor Product 0034,2,153.92,297.58,1
35,BRO-000035,Outdoor Product 0035,2,133.14,309.83,1
36,BRO-000036,Outdoor Product 0036,6,171.14,213.92,1
37,BRO-000037,Outdoor Product 0037,6,166.9,208.62,1
38,BRO-000038,Outdoor Product 0038,12,101.4,191.3,1
39,BRO-000039,Outdoor Product 0039,1,47.88,220.1,1
40,BRO-000040,Outdoor Product 0040,8,116.18,145.23,1
41,BRO-000041,Outdoor Product 0041,12,154.17,192.71,1
42,BRO-000042,Outdoor Product 0042,2,151.02,416.14,1
43,BRO-000043,Outdoor Product 0043,6,7.82,76.85,1
44,BRO-000044,Outdoor Product 0044,9,177.64,222.05,1
45,BRO-000045,Outdoor Product 0045,3,82.08,321.58,1
46,BRO-000046,Outdoor Product 0046,9,44.4,133.64,1
47,BRO-000047,Outdoor Product 0047,6,52.86,256.25,1
48,BRO-000048,Outdoor Product 0048,6,168.97,324.25,1
49,BRO-000049,Outdoor Product 0049,9,56.65,70.81,1
50,BRO-000050,Outdoor Product 0050,1,74.94,93.68,1
51,BRO-000051,Outdoor Product 0051,9,26.17,288.71,1
52,BRO-000052,Outdoor Product 0052,7,85.58,304.27,1
53,BRO-000053,Outdoor Product 0053,6,117.28,278.52,1
54,BRO-000054,Outdoor Product 0054,4,86.11,337.38,1
55,BRO-000055,Outdoor Product 0055,3,60.18,160.56,1
56,BRO-000056,Outdoor Product 0056,7,108.51,230.05,1
57,BRO-000057,Outdoor Product 0057,10,71.28,133.51,1
58,BRO-000058,Outdoor Product 0058,5,66.19,204.08,1
59,BRO-000059,Outdoor Product 0059,2,60.72,263.22,1
60,BRO-000060,Outdoor Product 0060,5,83.28,347.37,1
61,BRO-000061,Outdoor Product 0061,3,83.45,197.01,1
62,BRO-000062,Outdoor Product 0062,12,173.99,388.89,1
63,BRO-000063,Outdoor Product 0063,3,36.82,377.88,1
64,BRO-000064,Outdoor Product 0064,12,153.24,191.55,1
65,BRO-000065,Outdoor Product 0065,1,140.41,210.32,1
66,BRO-000066,Outdoor Product 0066,3,145.19,236.55,1
67,BRO-000067,Outdoor Product 0067,6,167.93,326.48,1
68,BRO-000068,Outdoor Product 0068,3,39.66,89.89,1
