invoice_id,work_order_id,invoice_date,labor_amount,parts_amount,invoice_total
600001,400001,2025-01-10,604.48,826.87,1431.35
600002,400003,2025-01-15,845.46,794.25,1639.71
600003,400004,2025-01-02,103.09,1134.63,1237.72
600004,400006,2025-01-03,624.35,943.78,1568.13
600005,400007,2025-01-07,467.86,19.04,486.9
600006,400008,2025-01-14,622.49,1084.08,1706.57
600007,400010,2025-01-14,692.89,979.75,1672.64
600008,400011,2025-01-06,170.1,1046.58,1216.68
600009,400012,2025-01-11,706.18,596.08,1302.26
600010,400013,2025-01-08,744.49,188.47,932.96
600011,400014,2025-01-11,377.89,708.32,1086.21
600012,400015,2025-01-13,288.11,227.07,515.18
600013,400016,2025-01-13,444.25,894.62,1338.87
600014,400017,2025-01-06,446.74,1001.41,1448.15
600015,400019,2025-01-15,133.51,827.78,961.29
600016,400021,2025-01-08,254.9,793.21,1048.11
600017,400022,2025-01-09,121.7,96.69,218.39
600018,400023,2025-01-10,586.42,106.1,692.52
600019,400024,2025-01-18,483.96,790.15,1274.11
600020,400026,2025-01-19,235.01,414.14,649.15
600021,400028,2025-01-08,498.3,864.92,1363.22
600022,400029,2025-01-06,101.5,554.41,655.91
600023,400030,2025-01-14,446.93,725.63,1172.56
600024,400031,2025-01-08,152.04,213.02,365.06
600025,400033,2025-01-18,641.22,1092.43,1733.65
600026,400034,2025-01-12,814.65,165.33,979.98
600027,400037,2025-01-09,275.62,390.57,666.19
600028,400040,2025-01-11,548.36,72.11,620.47
600029,400041,2025-01-10,302.06,927.0,1229.06
600030,400042,2025-01-18,798.07,938.2,1736.27
600031,400043,2025-01-14,419.71,1111.37,1531.08
600032,400044,2025-01-15,159.21,991.03,1150.24
600033,400045,2025-01-16,411.61,925.58,1337.19
600034,400046,2025-01-08,668.1,83.84,751.94
600035,400048,2025-01-22,105.08,586.39,691.47
600036,400049,2025-01-16,845.13,1103.4,1948.53
600037,400050,2025-01-22,772.15,428.86,1201.01
600038,400051,2025-01-21,671.38,835.33,1506.71
600039,400052,2025-01-09,840.98,1001.48,1842.46
600040,400053,2025-01-22,227.5,440.33,667.83
600041,400055,2025-01-20,439.14,126.26,565.4
600042,400056,2025-01-21,113.99,94.12,208.11
600043,400057,2025-01-23,315.88,478.18,794.06
600044,400058,2025-01-18,200.98,1121.26,1322.24
600045,400059,2025-01-16,295.64,1045.28,1340.92
600046,400060,2025-01-12,302.09,1143.96,1446.05
600047,400061,2025-01-12,109.3,854.07,963.37
600048,400064,2025-01-13,509.97,152.69,662.66
600049,400066,2025-01-17,659.72,1072.61,1732.33
600050,400068,2025-01-22,103.69,150.74,254.43
600051,400069,2025-01-13,737.22,98.33,835.55
600052,400070,2025-01-16,320.22,221.11,541.33
600053,400071,2025-01-14,749.66,312.63,1062.29
600054,400072,2025-01-24,305.39,238.56,543.95
600055,400073,2025-01-19,157.78,591.59,749.37
600056,400074,2025-01-24,122.59,920.97,1043.56
600057,400075,2025-01-12,497.58,73.67,571.25
600058,400076,2025-01-22,331.03,189.67,520.7
600059,400077,2025-01-15,204.45,348.21,552.66
600060,400078,2025-01-21,181.38,628.11,809.49
600061,400079,2025-01-14,464.41,659.17,1123.58
600062,400080,2025-01-23,522.13,174.18,696.31
600063,400082,2025-01-26,541.52,1033.28,1574.8
600064,400083,2025-01-26,428.83,644.63,1073.46
600065,400084,2025-01-26,829.62,429.0,1258.62
600066,400085,2025-01-18,570.48,504.88,1075.36
600067,400086,2025-01-19,628.9,1002.72,1631.62
600068,400087,2025-01-26,802.71,1123.67,1926.38
600069,400088,2025-01-20,830.31,541.87,1372.18
600070,400089,2025-01-16,625.41,303.11,928.52
600071,400090,2025-01-15,373.16,485.11,858.27
600072,400091,2025-01-17,775.99,142.73,918.72
600073,400092,2025-01-18,280.14,1196.6,1476.74
600074,400093,2025-01-28,188.73,427.82,616.55
600075,400094,2025-01-15,165.25,656.07,821.32
600076,400095,2025-01-27,354.51,195.59,550.1
600077,400096,2025-01-21,487.91,1024.15,1512.06
600078,400097,2025-01-20,185.86,1164.55,1350.41
600079,400099,2025-01-17,229.63,862.05,1091.68
600080,400100,2025-01-17,783.85,731.47,1515.32
600081,400103,2025-01-28,82.01,912.72,994.73
600082,400104,2025-01-29,188.59,1014.89,1203.48
600083,400105,2025-01-22,95.5,523.17,618.67
600084,400106,2025-01-28,568.27,312.65,880.92
600085,400107,2025-01-24,792.02,650.53,1442.55
600086,400108,2025-01-25,599.28,678.59,1277.87
600087,400109,2025-01-27,188.61,701.61,890.22
600088,400110,2025-01-25,457.19,121.44,578.63
600089,400111,2025-01-26,640.97,38.38,679.35
600090,400112,2025-01-25,327.27,817.12,1144.39
600091,400113,2025-01-23,645.35,1146.45,1791.8
600092,400114,2025-01-21,419.6,546.5,966.1
600093,400115,2025-01-25,522.51,263.8,786.31
600094,400116,2025-01-29,703.8,1020.09,1723.89
600095,400117,2025-01-26,263.12,1057.14,1320.26
600096,400118,2025-01-21,311.64,1182.91,1494.55
600097,400119,2025-01-18,92.25,1062.98,1155.23
600098,400120,2025-01-30,310.77,347.24,658.01
600099,400121,2025-01-24,504.58,412.16,916.74
600100,400122,2025-01-20,242.17,320.56,562.73
600101,400124,2025-01-24,452.63,1030.98,1483.61
600102,400125,2025-01-26,443.14,878.94,1322.08
600103,400126,2025-01-26,77.45,1194.43,1271.88
600104,400127,2025-01-30,685.08,349.66,1034.74
600105,400128,2025-01-29,849.89,930.1,1779.99
600106,400129,2025-01-25,426.75,255.07,681.82
600107,400130,2025-02-01,476.0,276.77,752.77
600108,400132,2025-01-31,228.28,587.63,815.91
600109,400133,2025-01-28,625.27,63.77,689.04
600110,400134,2025-01-31,273.48,1024.01,1297.49
600111,400135,2025-01-26,520.69,792.65,1313.34
600112,400136,2025-01-23,774.69,215.61,990.3
600113,400137,2025-01-25,219.05,815.8,1034.85
600114,400138,2025-01-31,178.1,675.87,853.97
600115,400139,2025-02-02,830.58,626.44,1457.02
600116,400140,2025-02-03,725.34,1193.19,1918.53
600117,400141,2025-01-25,212.57,844.75,1057.32
