part_id,part_name,unit_cost
1,Service Part 0001,125.39
2,Service Part 0002,273.12
3,Service Part 0003,250.36
4,Service Part 0004,265.22
5,Service Part 0005,237.97
6,Service Part 0006,70.32
7,Service Part 0007,301.11
8,Service Part 0008,202.34
9,Service Part 0009,67.55
10,Service Part 0010,33.31
11,Service Part 0011,320.82
12,Service Part 0012,341.44
13,Service Part 0013,98.55
14,Service Part 0014,265.77
15,Service Part 0015,40.39
16,Service Part 0016,332.95
17,Service Part 0017,46.5
18,Service Part 0018,56.31
19,Service Part 0019,229.84
20,Service Part 0020,151.09
21,Service Part 0021,237.54
22,Service Part 0022,239.5
23,Service Part 0023,37.33
24,Service Part 0024,255.01
25,Service Part 0025,162.1
26,Service Part 0026,321.22
27,Service Part 0027,51.04
28,Service Part 0028,175.5
29,Service Part 0029,33.87
30,Service Part 0030,213.32
31,Service Part 0031,321.07
32,Service Part 0032,134.58
33,Service Part 0033,147.11
34,Service Part 0034,205.53
35,Service Part 0035,324.18
36,Service Part 0036,245.18
37,Service Part 0037,75.83
38,Service Part 0038,235.19
39,Service Part 0039,210.24
40,Service Part 0040,240.78
41,Service Part 0041,333.39
42,Service Part 0042,112.57
43,Service Part 0043,245.41
44,Service Part 0044,140.24
45,Service Part 0045,44.48
46,Service Part 0046,89.81
47,Service Part 0047,88.02
48,Service Part 0048,301.89
49,Service Part 0049,106.39
50,Service Part 0050,267.79
51,Service Part 0051,120.97
52,Service Part 0052,180.62
53,Service Part 0053,287.27
54,Service Part 0054,138.54
55,Service Part 0055,119.97
56,Service Part 0056,157.08
57,Service Part 0057,18.55
58,Service Part 0058,35.73
59,Service Part 0059,173.29
60,Service Part 0060,84.15
61,Service Part 0061,229.53
62,Service Part 0062,340.15
63,Service Part 0063,347.02
64,Service Part 0064,106.73
65,Service Part 0065,297.5
66,Service Part 0066,188.33
67,Service Part 0067,240.14
68,Service Part 0068,30.42
69,Service Part 0069,134.71
70,Service Part 0070,213.36
71,Service Part 0071,194.19
72,Service Part 0072,62.56
73,Service Part 0073,278.76
74,Service Part 0074,235.33
75,Service Part 0075,315.58
76,Service Part 0076,191.48
77,Service Part 0077,16.49
78,Service Part 0078,109.13
79,Service Part 0079,321.3
80,Service Part 0080,232.24
81,Service Part 0081,96.95
82,Service Part 0082,112.99
83,Service Part 0083,236.8
84,Service Part 0084,145.28
85,Service Part 0085,129.47
86,Service Part 0086,215.09
87,Service Part 0087,146.63
88,Service Part 0088,45.8
89,Service Part 0089,221.85
90,Service Part 0090,174.71
91,Service Part 0091,120.05
92,Service Part 0092,141.57
93,Service Part 0093,243.69
94,Service Part 0094,192.86
95,Service Part 0095,37.42
96,Service Part 0096,177.74
97,Service Part 0097,82.83
98,Service Part 0098,22.77
99,Service Part 0099,98.94
100,Service Part 0100,6.45
101,Service Part 0101,161.7
102,Service Part 0102,279.16
103,Service Part 0103,200.93
104,Service Part 0104,35.73
105,Service Part 0105,178.41
106,Service Part 0106,77.08
107,Service Part 0107,256.61
108,Service Part 0108,289.27
109,Service Part 0109,187.63
110,Service Part 0110,10.04
111,Service Part 0111,222.34
112,Service Part 0112,27.91
113,Service Part 0113,214.73
114,Service Part 0114,279.31
115,Service Part 0115,187.06
116,Service Part 0116,56.12
117,Service Part 0117,287.47
118,Service Part 0118,9.86
119,Service Part 0119,262.28
120,Service Part 0120,213.6
121,Service Part 0121,34.43
122,Service Part 0122,218.67
123,Service Part 0123,94.73
124,Service Part 0124,198.84
125,Service Part 0125,266.67
126,Service Part 0126,343.16
127,Service Part 0127,41.19
128,Service Part 0128,257.82
129,Service Part 0129,307.12
130,Service Part 0130,41.63
131,Service Part 0131,315.46
132,Service Part 0132,35.91
133,Service Part 0133,245.97
134,Service Part 0134,135.86
135,Service Part 0135,271.27
136,Service Part 0136,28.34
137,Service Part 0137,203.76
138,Service Part 0138,307.4
139,Service Part 0139,20.7
140,Service Part 0140,177.48
141,Service Part 0141,165.84
142,Service Part 0142,232.58
143,Service Part 0143,322.03
144,Service Part 0144,178.6
145,Service Part 0145,253.91
146,Service Part 0146,107.9
147,Service Part 0147,336.58
148,Service Part 0148,233.57
149,Service Part 0149,95.99
150,Service Part 0150,301.83
151,Service Part 0151,205.73
152,Service Part 0152,278.1
153,Service Part 0153,194.17
154,Service Part 0154,141.49
155,Service Part 0155,120.58
156,Service Part 0156,345.56
157,Service Part 0157,204.74
158,Service Part 0158,216.28
159,Service Part 0159,279.31
160,Service Part 0160,289.54
161,Service Part 0161,64.78
162,Service Part 0162,155.03
163,Service Part 0163,346.46
164,Service Part 0164,160.54
165,Service Part 0165,245.85
166,Service Part 0166,1.13
167,Service Part 0167,243.1
168,Service Part 0168,323.91
169,Service Part 0169,93.8
170,Service Part 0170,170.53
171,Service Part 0171,73.14
172,Service Part 0172,328.99
173,Service Part 0173,128.41
174,Service Part 0174,341.44
175,Service Part 0175,343.12
176,Service Part 0176,320.2
177,Service Part 0177,288.97
178,Service Part 0178,343.84
179,Service Part 0179,185.27
180,Service Part 0180,241.7
181,Service Part 0181,335.88
182,Service Part 0182,236.8
183,Service Part 0183,93.77
184,Service Part 0184,225.33
185,Service Part 0185,282.49
186,Service Part 0186,185.1
187,Service Part 0187,91.93
188,Service Part 0188,74.81
189,Service Part 0189,56.84
190,Service Part 0190,309.66
191,Service Part 0191,217.24
192,Service Part 0192,332.29
193,Service Part 0193,157.65
194,Service Part 0194,131.82
195,Service Part 0195,152.5
196,Service Part 0196,333.09
197,Service Part 0197,110.67
198,Service Part 0198,281.56
199,Service Part 0199,266.72
200,Service Part 0200,132.53
