payment_id,invoice_id,payment_date,payment_amount
800001,600001,2025-02-17,1431.35
800002,600002,2025-02-17,1639.71
800003,600003,2025-02-08,1237.72
800004,600004,2025-01-11,1568.13
800005,600005,2025-02-05,486.9
800006,600006,2025-01-28,1706.57
800007,600007,2025-02-09,1672.64
800008,600008,2025-02-11,1216.68
800009,600010,2025-02-08,932.96
800010,600011,2025-01-18,1086.21
800011,600012,2025-01-27,515.18
800012,600013,2025-02-22,1338.87
800013,600015,2025-02-17,961.29
800014,600016,2025-02-19,1048.11
800015,600017,2025-01-11,218.39
800016,600018,2025-01-28,692.52
800017,600019,2025-02-28,1274.11
800018,600020,2025-02-18,649.15
800019,600022,2025-01-20,655.91
800020,600023,2025-02-08,1172.56
800021,600024,2025-01-19,365.06
800022,600025,2025-02-21,1733.65
800023,600027,2025-02-15,666.19
800024,600028,2025-01-31,620.47
800025,600029,2025-02-09,1229.06
800026,600030,2025-02-17,1736.27
800027,600031,2025-02-19,1531.08
800028,600032,2025-01-28,1150.24
800029,600033,2025-01-25,1337.19
800030,600034,2025-01-29,751.94
800031,600035,2025-02-16,691.47
800032,600036,2025-02-02,1948.53
800033,600037,2025-02-24,1201.01
800034,600038,2025-02-25,1506.71
800035,600039,2025-01-15,1842.46
800036,600040,2025-02-07,667.83
800037,600041,2025-02-05,565.4
800038,600042,2025-02-24,208.11
800039,600043,2025-02-20,794.06
800040,600044,2025-02-05,1322.24
800041,600045,2025-02-13,1340.92
800042,600046,2025-02-18,1446.05
800043,600048,2025-01-25,662.66
800044,600049,2025-02-15,1732.33
800045,600050,2025-02-09,254.43
800046,600051,2025-01-21,835.55
800047,600052,2025-02-18,541.33
800048,600053,2025-02-20,1062.29
800049,600054,2025-02-10,543.95
800050,600055,2025-02-07,749.37
800051,600056,2025-02-12,1043.56
800052,600057,2025-02-13,571.25
800053,600058,2025-02-21,520.7
800054,600059,2025-02-28,552.66
800055,600060,2025-02-01,809.49
800056,600061,2025-01-31,1123.58
800057,600062,2025-02-15,696.31
800058,600063,2025-02-22,1574.8
800059,600064,2025-03-04,1073.46
800060,600065,2025-02-05,1258.62
800061,600067,2025-02-23,1631.62
800062,600068,2025-01-26,1926.38
800063,600069,2025-01-31,1372.18
800064,600070,2025-01-23,928.52
800065,600071,2025-02-19,858.27
800066,600072,2025-01-29,918.72
800067,600073,2025-01-20,1476.74
800068,600074,2025-02-03,616.55
800069,600075,2025-01-26,821.32
800070,600076,2025-02-24,550.1
800071,600077,2025-02-05,1512.06
800072,600078,2025-03-03,1350.41
800073,600079,2025-02-27,1091.68
800074,600080,2025-01-29,1515.32
800075,600081,2025-03-07,994.73
800076,600082,2025-02-02,1203.48
800077,600083,2025-02-09,618.67
800078,600085,2025-02-01,1442.55
800079,600086,2025-03-08,1277.87
800080,600087,2025-02-07,890.22
800081,600088,2025-02-20,578.63
800082,600089,2025-02-26,679.35
800083,600091,2025-02-14,1791.8
800084,600094,2025-02-09,1723.89
800085,600095,2025-03-10,1320.26
800086,600097,2025-03-02,1155.23
800087,600100,2025-03-03,562.73
800088,600101,2025-01-24,1483.61
800089,600103,2025-01-26,1271.88
800090,600104,2025-02-28,1034.74
800091,600105,2025-03-12,1779.99
800092,600106,2025-02-11,681.82
800093,600107,2025-02-14,752.77
800094,600108,2025-02-08,815.91
800095,600109,2025-02-10,689.04
800096,600110,2025-02-25,1297.49
800097,600111,2025-03-09,1313.34
800098,600112,2025-01-24,990.3
800099,600113,2025-03-04,1034.85
800100,600114,2025-02-05,853.97
800101,600115,2025-02-21,1457.02
800102,600116,2025-03-16,1918.53
800103,600117,2025-03-05,1057.32
800104,600118,2025-02-18,1533.45
800105,600119,2025-02-02,1077.91
800106,600120,2025-02-20,531.26
800107,600121,2025-02-14,1470.22
800108,600122,2025-02-11,1321.58
800109,600123,2025-02-12,1098.79
800110,600125,2025-02-06,929.24
800111,600127,2025-02-17,840.82
800112,600128,2025-01-31,753.92
800113,600129,2025-02-09,771.74
800114,600130,2025-02-27,1541.44
800115,600131,2025-03-19,693.96
800116,600132,2025-02-06,1175.08
800117,600133,2025-03-08,830.85
800118,600134,2025-01-29,500.56
800119,600135,2025-02-15,636.74
800120,600137,2025-02-26,1155.35
800121,600138,2025-02-16,1751.09
800122,600139,2025-02-13,1668.76
800123,600140,2025-02-24,936.55
800124,600141,2025-02-26,1178.13
800125,600142,2025-03-07,1014.62
800126,600143,2025-02-08,1270.63
800127,600144,2025-02-07,214.88
800128,600145,2025-03-06,1397.97
800129,600146,2025-01-31,1381.92
800130,600147,2025-03-05,858.42
800131,600148,2025-02-03,1099.82
800132,600149,2025-02-23,1446.93
800133,600150,2025-03-09,464.5
800134,600151,2025-03-02,545.73
800135,600152,2025-03-04,1056.76
800136,600154,2025-03-14,1418.4
800137,600155,2025-02-16,1735.5
800138,600156,2025-02-18,692.67
800139,600157,2025-02-28,767.63
800140,600158,2025-02-10,1642.87
800141,600159,2025-02-25,875.22
800142,600160,2025-02-23,1304.13
800143,600161,2025-03-03,976.04
800144,600162,2025-03-11,832.98
800145,600163,2025-02-15,1223.63
800146,600164,2025-02-03,1143.6
800147,600165,2025-03-18,1236.5
800148,600166,2025-03-07,1002.45
800149,600167,2025-03-04,1567.36
800150,600168,2025-03-12,1905.68
800151,600170,2025-03-12,1491.48
800152,600171,2025-03-20,847.83
800153,600172,2025-03-09,1054.8
800154,600173,2025-02-07,968.04
800155,600174,2025-02-10,1530.0
800156,600175,2025-02-18,403.76
800157,600176,2025-02-28,586.19
800158,600177,2025-02-03,1887.04
800159,600179,2025-03-07,731.01
800160,600180,2025-02-18,1174.97
800161,600181,2025-01-31,1662.26
800162,600182,2025-03-10,356.73
800163,600183,2025-02-20,1047.0
800164,600184,2025-02-24,964.12
800165,600185,2025-02-03,436.67
800166,600186,2025-02-28,928.76
800167,600187,2025-02-22,776.15
800168,600188,2025-03-09,704.76
800169,600190,2025-02-18,306.15
800170,600191,2025-02-06,1702.79
800171,600192,2025-03-13,941.74
800172,600193,2025-02-21,1192.05
800173,600194,2025-03-15,1915.35
800174,600195,2025-02-17,480.92
800175,600196,2025-03-05,961.16
800176,600197,2025-02-26,1656.04
800177,600198,2025-03-17,1243.47
