work_order_part_id,work_order_id,part_id,quantity
1,400001,191,3
2,400001,36,1
3,400003,48,2
4,400003,135,3
5,400004,93,1
6,400005,154,3
7,400006,81,2
8,400006,47,3
9,400007,82,2
10,400007,42,2
11,400007,160,2
12,400009,123,3
13,400010,40,3
14,400010,55,1
15,400010,5,3
16,400011,98,1
17,400011,192,1
18,400013,99,3
19,400013,119,1
20,400014,95,2
21,400015,182,1
22,400016,66,2
23,400016,111,3
24,400017,193,3
25,400017,18,2
26,400018,65,1
27,400018,78,3
28,400018,82,1
29,400022,84,2
30,400022,179,3
31,400022,34,2
32,400025,5,3
33,400025,185,1
34,400026,47,1
35,400026,136,3
36,400026,164,3
37,400027,73,3
38,400027,163,3
39,400028,129,2
40,400028,108,3
41,400028,149,2
42,400029,15,2
43,400031,117,1
44,400032,61,3
45,400032,144,3
46,400032,22,1
47,400033,126,1
48,400033,136,1
49,400034,75,3
50,400034,159,3
51,400035,67,3
52,400036,99,3
53,400036,95,1
54,400036,72,3
55,400039,192,2
56,400039,167,2
57,400039,183,1
58,400041,43,2
59,400041,56,3
60,400044,123,1
61,400045,43,3
62,400046,20,2
63,400046,7,1
64,400048,188,2
65,400048,32,3
66,400051,182,2
67,400051,155,3
68,400051,185,2
69,400052,39,2
70,400052,45,2
71,400052,161,1
72,400053,46,2
73,400055,112,1
74,400056,134,1
75,400056,200,1
76,400057,181,3
77,400057,88,3
78,400057,98,1
79,400058,196,1
80,400058,170,2
81,400058,102,1
82,400059,15,2
83,400059,149,2
84,400059,160,2
85,400061,60,1
86,400061,9,2
87,400062,112,2
88,400062,49,2
89,400063,50,1
90,400063,9,3
91,400064,36,1
92,400065,20,1
93,400066,125,2
94,400066,151,1
95,400066,139,2
96,400067,148,2
97,400067,8,2
98,400069,17,2
99,400069,84,2
100,400070,152,1
101,400070,60,2
102,400070,15,1
103,400071,39,1
104,400073,125,1
105,400074,102,2
106,400074,52,3
107,400075,104,1
108,400075,156,1
109,400075,110,1
110,400077,96,2
111,400078,165,3
112,400078,142,1
113,400078,89,1
114,400080,166,1
115,400081,136,3
116,400081,127,2
117,400082,57,3
118,400084,127,3
119,400084,181,1
120,400084,133,2
121,400085,63,2
122,400085,171,2
123,400088,48,3
124,400089,41,3
125,400089,183,2
126,400089,172,3
127,400090,55,3
128,400090,52,2
129,400090,76,2
130,400091,15,3
131,400093,83,1
132,400093,43,2
133,400096,192,3
134,400096,142,3
135,400096,97,3
136,400097,30,1
137,400098,140,3
138,400098,167,3
139,400099,179,2
140,400099,22,2
141,400100,11,3
142,400101,89,3
143,400102,139,2
144,400102,40,1
145,400102,193,3
146,400103,32,3
147,400103,130,3
148,400105,155,1
149,400105,49,1
150,400106,42,1
151,400106,105,2
152,400106,3,3
153,400107,1,3
154,400107,174,3
155,400108,155,2
156,400108,132,1
157,400108,102,3
158,400110,192,1
159,400111,7,1
160,400111,163,3
161,400111,148,3
162,400112,159,3
163,400112,33,3
164,400112,23,3
165,400113,43,3
166,400113,62,3
167,400113,186,1
168,400115,72,1
169,400115,64,1
170,400116,50,3
171,400116,96,2
172,400116,185,3
173,400117,99,1
174,400117,127,1
175,400117,148,3
176,400118,13,1
177,400118,5,2
178,400118,200,3
179,400119,171,2
180,400119,17,1
181,400120,13,1
182,400120,57,3
183,400120,40,2
184,400121,122,3
185,400121,56,1
186,400122,21,1
187,400122,58,3
188,400123,105,2
189,400123,146,3
190,400123,155,3
191,400125,60,1
192,400126,88,2
193,400127,66,1
194,400127,154,1
195,400128,35,2
196,400128,47,2
197,400129,196,2
198,400129,35,3
199,400129,80,1
200,400130,108,2
201,400130,38,1
202,400134,156,1
