work_order_id,service_location_id,service_type_id,created_timestamp,status,priority,reported_channel
400001,300010,2,2025-01-01 02:49:47,COMPLETED,Routine,Web
400002,300700,6,2025-01-01 03:29:48,CANCELLED,Routine,Phone
400003,300332,3,2025-01-01 09:17:32,COMPLETED,Priority,Web
400004,300348,10,2025-01-01 12:33:28,COMPLETED,Routine,Technician
400005,301195,3,2025-01-01 15:58:28,OPEN,Routine,Mobile
400006,300725,3,2025-01-02 03:07:12,COMPLETED,Routine,Phone
400007,300680,3,2025-01-02 03:10:09,COMPLETED,Routine,Web
400008,301010,11,2025-01-02 04:18:10,COMPLETED,Priority,Technician
400009,300308,2,2025-01-02 06:37:20,OPEN,Priority,Web
400010,301594,2,2025-01-02 11:20:16,COMPLETED,Priority,Web
400011,300876,9,2025-01-02 14:34:45,COMPLETED,Routine,Phone
400012,301222,12,2025-01-03 01:09:32,COMPLETED,Routine,Mobile
400013,301111,4,2025-01-03 10:19:05,COMPLETED,Routine,Phone
400014,301391,1,2025-01-03 18:18:49,COMPLETED,Routine,Phone
400015,300770,5,2025-01-03 18:20:36,COMPLETED,Routine,Mobile
400016,300989,11,2025-01-03 23:32:28,COMPLETED,Routine,Phone
400017,300748,10,2025-01-04 02:44:28,COMPLETED,Routine,Phone
400018,301745,7,2025-01-04 07:10:26,OPEN,Priority,Mobile
400019,300459,3,2025-01-04 10:18:19,COMPLETED,Routine,Phone
400020,300750,11,2025-01-04 10:49:52,OPEN,Emergency,Technician
400021,301717,9,2025-01-04 11:54:14,COMPLETED,Routine,Web
400022,301436,2,2025-01-04 21:32:19,COMPLETED,Routine,Phone
400023,300749,4,2025-01-04 22:08:17,COMPLETED,Routine,Phone
400024,301347,11,2025-01-05 00:18:11,COMPLETED,Routine,Web
400025,301722,9,2025-01-05 01:41:23,OPEN,Routine,Phone
400026,301294,4,2025-01-05 02:54:42,COMPLETED,Routine,Web
400027,300246,4,2025-01-05 05:16:38,OPEN,Routine,Phone
400028,300179,11,2025-01-05 08:58:01,COMPLETED,Priority,Phone
400029,301613,2,2025-01-05 11:08:09,COMPLETED,Routine,Phone
400030,301641,9,2025-01-05 13:20:23,COMPLETED,Routine,Phone
