customer_id,customer_name,billing_state,active_flag,created_date
100001,Scott LLC,GA,1,2021-02-19
100002,Morgan-Ruiz,VA,1,2025-02-23
100003,"Norton, Newman and Brown",NC,1,2019-09-23
100004,"Sullivan, Nichols and Bowen",FL,1,2022-05-01
100005,"Snow, Cook and Arnold",VA,1,2022-03-07
100006,Wright-Smith,SC,1,2023-02-27
100007,Thomas-Martinez,NC,1,2022-10-27
100008,Wise-Rowland,NC,1,2024-07-30
100009,"Waters, Esparza and Harmon",GA,0,2024-06-06
100010,Evans-Carter,VA,1,2020-04-04
100011,Frederick-Diaz,GA,1,2023-09-11
100012,"Jones, Cross and Osborn",FL,0,2019-12-19
100013,"Carpenter, Stout and Powell",SC,1,2022-08-14
100014,Ramirez-Moore,NC,1,2022-04-29
100015,"Byrd, Barnes and Schmitt",NC,1,2023-11-22
100016,Boyd PLC,GA,1,2024-08-26
100017,Harvey-Bowman,SC,1,2025-09-26
100018,Murphy PLC,SC,1,2019-08-15
100019,"Hudson, Black and Holder",NC,1,2021-04-16
100020,"Rhodes, Morgan and Hooper",GA,1,2020-04-21
100021,Peters and Sons,NC,1,2020-12-31
100022,"Jimenez, Maxwell and Wilson",NC,1,2020-06-22
100023,Fox-Smith,FL,1,2022-08-02
100024,Rogers Inc,SC,1,2025-11-12
100025,Davis-Crawford,NC,1,2022-09-24
100026,Tucker-Martinez,GA,1,2023-10-11
100027,"Long, Benson and Williams",SC,1,2023-04-21
100028,"Santiago, Green and Hampton",FL,1,2025-10-22
100029,Smith-Weiss,TN,1,2022-10-02
100030,Daniels-Miller,NC,1,2021-03-27
100031,Bradshaw PLC,GA,1,2020-09-10
100032,Davidson Group,TN,1,2022-07-27
100033,Navarro Group,NC,1,2024-04-13
100034,Leach Ltd,VA,1,2024-01-31
100035,Anderson Group,VA,1,2022-01-12
100036,"Boyer, Thomas and Larson",VA,1,2021-01-04
100037,"Brown, Weaver and Owens",NC,1,2024-07-24
100038,Williams Group,SC,1,2025-07-14
100039,Rush PLC,VA,1,2025-11-26
100040,"Long, Hobbs and Howard",NC,1,2024-11-21
100041,"Schaefer, Downs and Garcia",NC,1,2019-11-16
100042,"Peterson, Dalton and Allen",NC,1,2023-09-27
100043,Mack-Rivera,VA,1,2024-06-25
100044,Russell-Torres,FL,1,2019-08-23
100045,Mayo and Sons,NC,0,2025-05-08
100046,Frazier Inc,TN,0,2019-01-14
100047,"Fitzpatrick, Guerrero and Hayes",NC,1,2021-07-16
100048,Sanchez LLC,VA,1,2020-01-04
100049,"Zamora, Hale and Rodriguez",GA,1,2021-03-16
