vehicle_id,vin_last8,home_warehouse_id,model_year,vehicle_type
1000,ZE544821,2,2020,Box Truck
1001,XE555378,6,2019,Box Truck
1002,IG521144,1,2022,Tractor
1003,AS950487,1,2017,Box Truck
1004,HS160502,9,2024,Box Truck
1005,UE382785,1,2022,Tractor
1006,TZ653037,5,2023,Cargo Van
1007,ZV652631,6,2018,Tractor
1008,BN635425,10,2018,Box Truck
1009,RH609404,7,2025,Box Truck
1010,KO703535,7,2021,Box Truck
1011,QT562843,5,2021,Box Truck
1012,VB639772,4,2025,Tractor
1013,XC145007,1,2021,Box Truck
1014,KA822131,5,2019,Tractor
1015,BH683624,10,2022,Tractor
1016,IX241389,8,2023,Cargo Van
1017,VA541344,5,2024,Box Truck
1018,RW824864,1,2024,Box Truck
1019,RC986390,5,2021,Box Truck
1020,NF904233,1,2022,Box Truck
1021,YC941671,2,2024,Tractor
1022,UB905682,6,2022,Box Truck
1023,AH201350,5,2017,Cargo Van
1024,ER985735,10,2019,Cargo Van
1025,UR732223,7,2017,Box Truck
1026,OB452477,4,2025,Cargo Van
1027,PP289250,10,2017,Cargo Van
1028,AC190742,7,2018,Tractor
1029,UU828970,7,2021,Tractor
1030,FS945682,3,2021,Tractor
1031,RW790986,10,2018,Box Truck
1032,AE837991,4,2026,Cargo Van
1033,PR341451,3,2018,Tractor
1034,JE233844,2,2020,Tractor
1035,BR596041,3,2024,Cargo Van
1036,YQ118992,3,2016,Tractor
1037,KB533527,4,2020,Box Truck
1038,AU959295,2,2021,Box Truck
1039,YL764068,6,2025,Tractor
1040,IY155925,1,2017,Tractor
1041,WZ013895,5,2023,Tractor
1042,NX557334,5,2021,Tractor
1043,IZ642450,7,2026,Tractor
1044,GD227253,5,2017,Tractor
1045,VD786628,9,2020,Box Truck
1046,LU160064,8,2024,Box Truck
1047,VS382082,7,2019,Cargo Van
1048,BN889298,5,2018,Tractor
1049,XC068736,2,2023,Box Truck
1050,SJ560107,2,2026,Cargo Van
1051,LL787813,6,2026,Tractor
1052,OW680075,8,2020,Tractor
1053,IY447038,7,2024,Box Truck
1054,WK351483,6,2023,Box Truck
1055,WB901681,4,2018,Box Truck
1056,QA450283,3,2021,Tractor
1057,UK726267,4,2023,Tractor
1058,EA112924,4,2022,Box Truck
1059,NT037130,7,2019,Tractor
1060,QT455148,1,2016,Tractor
1061,KE678305,5,2016,Tractor
1062,YJ765365,3,2019,Tractor
1063,AM346122,3,2024,Box Truck
1064,RA687050,1,2016,Cargo Van
1065,AX724515,2,2016,Box Truck
1066,NO789820,5,2023,Box Truck
1067,QG143248,4,2018,Cargo Van
1068,LA054452,5,2022,Cargo Van
1069,QU975987,3,2023,Tractor
1070,DF365896,2,2018,Cargo Van
1071,UH300410,5,2020,Tractor
1072,BM130501,5,2022,Tractor
1073,QK157420,5,2026,Box Truck
1074,KF286769,3,2022,Box Truck
1075,TC262897,1,2019,Tractor
1076,TH304782,3,2022,Box Truck
1077,GF159103,3,2022,Box Truck
1078,DE036763,3,2019,Box Truck
1079,PI780886,8,2018,Box Truck
1080,DN061395,6,2026,Tractor
1081,MO184082,10,2019,Box Truck
1082,DN523188,2,2017,Tractor
1083,IS721545,4,2021,Tractor
1084,HV175063,4,2018,Box Truck
1085,KV646458,10,2020,Tractor
1086,ZT265626,10,2017,Tractor
1087,QQ695581,9,2016,Box Truck
1088,MU708963,10,2026,Tractor
1089,RQ412644,8,2026,Tractor
1090,AT179206,1,2016,Tractor
1091,LG248504,1,2026,Box Truck
1092,HT407994,5,2019,Cargo Van
1093,IU387017,6,2020,Box Truck
1094,DR440863,9,2017,Box Truck
1095,YO378845,10,2024,Box Truck
1096,WE366148,7,2022,Box Truck
1097,FO640376,10,2026,Box Truck
1098,KL217639,9,2025,Box Truck
1099,ZE180435,6,2024,Box Truck
