snapshot_id,snapshot_date,account_id,balance,status_cd
1,2025-01-31,302436,125.68,CURRENT
2,2025-01-31,301585,20.83,60
3,2025-01-31,301099,64.9,CURRENT
4,2025-01-31,302246,76.74,90+
5,2025-01-31,300855,12.19,CURRENT
6,2025-01-31,301475,54.9,CURRENT
7,2025-01-31,300828,82.63,CURRENT
8,2025-01-31,302284,71.3,CURRENT
9,2025-01-31,301656,21.44,CURRENT
10,2025-01-31,300167,69.32,CURRENT
11,2025-01-31,300180,77.85,CURRENT
12,2025-01-31,300176,147.61,30
13,2025-01-31,301740,150.25,CURRENT
14,2025-01-31,300523,172.14,CURRENT
15,2025-01-31,300922,37.79,CURRENT
16,2025-01-31,301021,155.64,CURRENT
17,2025-01-31,301663,56.33,CURRENT
18,2025-01-31,301467,262.47,CURRENT
19,2025-01-31,301470,53.36,CURRENT
20,2025-01-31,302437,315.38,CURRENT
21,2025-01-31,302336,19.43,CURRENT
22,2025-01-31,301807,45.26,CURRENT
23,2025-01-31,301129,41.55,CURRENT
24,2025-01-31,300542,59.47,CURRENT
25,2025-01-31,300261,70.26,CURRENT
26,2025-01-31,301988,54.49,CURRENT
27,2025-01-31,301326,291.97,CURRENT
28,2025-01-31,300796,23.57,CURRENT
29,2025-01-31,301456,21.54,CURRENT
30,2025-01-31,300826,26.05,30
31,2025-01-31,300920,121.69,CURRENT
32,2025-01-31,301559,132.67,CURRENT
33,2025-01-31,300882,79.98,CURRENT
34,2025-01-31,300288,60.09,CURRENT
35,2025-01-31,300777,81.18,60
36,2025-01-31,301941,51.06,CURRENT
37,2025-01-31,301929,35.83,CURRENT
38,2025-01-31,300379,196.15,CURRENT
39,2025-01-31,302184,13.1,CURRENT
40,2025-01-31,301616,97.44,CURRENT
41,2025-01-31,300510,98.01,CURRENT
42,2025-01-31,300666,165.02,60
43,2025-01-31,301773,22.16,CURRENT
44,2025-01-31,301907,49.44,CURRENT
45,2025-01-31,301669,86.63,CURRENT
46,2025-01-31,301340,157.41,CURRENT
47,2025-01-31,300977,65.85,30
48,2025-01-31,301295,77.12,CURRENT
49,2025-01-31,302358,151.94,CURRENT
50,2025-01-31,302068,70.43,CURRENT
51,2025-01-31,301509,48.41,30
52,2025-01-31,301108,68.6,CURRENT
53,2025-01-31,301017,47.29,CURRENT
54,2025-01-31,301092,59.68,CURRENT
55,2025-01-31,300736,108.51,CURRENT
56,2025-01-31,301618,85.3,CURRENT
57,2025-01-31,301203,127.02,CURRENT
58,2025-01-31,301553,75.83,CURRENT
59,2025-01-31,301749,111.2,CURRENT
60,2025-01-31,300051,81.26,60
61,2025-01-31,301500,16.51,CURRENT
62,2025-01-31,301286,79.57,30
63,2025-01-31,300121,176.43,30
64,2025-01-31,302084,139.35,CURRENT
65,2025-01-31,301891,90.03,CURRENT
