device_id,account_id,device_type_cd,install_date
1100001,301339,RTR,2019-02-12
1100002,300655,RTR,2018-07-08
1100003,300735,SW,2020-12-08
1100004,301629,AP,2026-01-27
1100005,302485,ONT,2021-10-24
1100006,300298,ONT,2020-04-22
1100007,302309,AP,2022-06-12
1100008,301774,SW,2023-02-10
1100009,300110,RTR,2019-12-12
1100010,301229,SW,2019-08-24
1100011,302061,ONT,2025-06-05
1100012,300872,ONT,2022-11-20
1100013,300087,ONT,2023-03-07
1100014,301700,RTR,2024-02-29
1100015,300360,ONT,2025-05-10
1100016,300944,SW,2019-03-26
1100017,302039,ONT,2022-01-27
1100018,302451,ONT,2019-07-07
1100019,300715,ONT,2021-06-23
1100020,300928,AP,2021-11-08
1100021,300269,RTR,2023-06-01
1100022,300183,ONT,2023-04-09
1100023,300497,RTR,2022-11-12
1100024,300746,ONT,2024-06-30
1100025,300542,ONT,2019-09-05
1100026,301677,ONT,2021-02-14
1100027,300523,RTR,2021-02-08
1100028,302427,RTR,2018-10-14
1100029,300284,ONT,2022-01-01
1100030,300235,ONT,2022-01-05
1100031,300614,RTR,2019-10-12
1100032,301296,ONT,2022-06-29
1100033,302050,SW,2022-01-26
1100034,302290,ONT,2020-06-18
1100035,301262,SW,2018-06-23
1100036,302202,RTR,2021-07-09
1100037,301030,RTR,2026-04-20
1100038,300282,SW,2018-09-25
1100039,300745,ONT,2020-08-10
1100040,301820,RTR,2026-02-03
1100041,301888,SW,2020-07-10
1100042,301867,RTR,2021-02-25
1100043,302268,ONT,2023-07-07
1100044,301466,ONT,2025-07-08
1100045,300683,ONT,2020-12-26
1100046,300580,ONT,2023-01-11
1100047,301964,RTR,2025-11-22
1100048,301571,SW,2021-02-01
1100049,302443,ONT,2025-10-31
1100050,301577,ONT,2019-01-31
1100051,301556,ONT,2020-07-19
1100052,300804,RTR,2024-03-14
1100053,300364,RTR,2022-06-20
1100054,301080,RTR,2026-01-06
1100055,300739,ONT,2018-07-19
1100056,301118,SW,2025-03-03
1100057,300331,SW,2025-02-12
1100058,301581,RTR,2018-08-05
1100059,300195,RTR,2022-07-30
1100060,301902,RTR,2022-10-02
1100061,301975,RTR,2020-04-26
1100062,302013,ONT,2022-06-06
1100063,302455,RTR,2025-03-04
1100064,302394,SW,2024-03-08
1100065,302387,ONT,2025-03-21
1100066,302153,RTR,2020-07-11
1100067,302035,ONT,2021-03-04
1100068,301738,ONT,2024-05-24
1100069,301213,ONT,2023-08-10
1100070,302134,RTR,2025-12-22
1100071,300187,ONT,2023-08-14
1100072,302087,AP,2022-05-07
1100073,301076,RTR,2021-09-08
1100074,301122,ONT,2024-12-25
1100075,300550,RTR,2024-06-12
1100076,301946,RTR,2023-02-04
1100077,300238,RTR,2023-12-04
1100078,300301,ONT,2021-04-09
1100079,301250,RTR,2025-05-03
1100080,302046,RTR,2025-06-29
1100081,301485,ONT,2024-04-15
1100082,300136,RTR,2025-08-19
1100083,301142,ONT,2021-09-27
1100084,302000,ONT,2018-02-08
1100085,301829,ONT,2018-05-28
1100086,301665,SW,2025-03-03
1100087,300848,RTR,2026-04-04
1100088,300328,ONT,2022-04-08
1100089,300335,ONT,2019-07-12
1100090,301655,AP,2019-05-07
1100091,301782,SW,2021-05-26
1100092,300085,RTR,2022-10-09
1100093,301884,AP,2024-01-10
1100094,301404,AP,2022-11-13
1100095,300015,RTR,2025-03-27
1100096,301227,ONT,2019-03-16
1100097,300867,RTR,2019-10-31
1100098,301308,ONT,2022-08-03
1100099,301420,ONT,2023-10-19
1100100,300889,RTR,2021-10-03
1100101,302474,RTR,2021-11-04
1100102,300695,ONT,2025-02-24
1100103,300159,ONT,2020-06-04
1100104,300702,ONT,2024-03-01
1100105,300705,ONT,2022-03-20
1100106,300198,RTR,2019-10-11
1100107,300277,RTR,2019-10-30
1100108,300451,ONT,2020-08-21
1100109,301596,RTR,2021-08-12
1100110,301063,ONT,2025-12-29
1100111,301582,RTR,2020-12-10
1100112,302341,RTR,2020-04-15
1100113,300361,ONT,2018-09-07
1100114,300558,ONT,2022-08-23
1100115,300536,ONT,2024-07-06
1100116,301464,RTR,2023-06-10
1100117,301841,ONT,2026-04-30
1100118,300329,ONT,2020-03-04
1100119,301765,ONT,2023-02-27
1100120,302143,ONT,2018-10-15
1100121,300725,ONT,2026-02-16
1100122,300402,ONT,2023-10-08
1100123,301975,RTR,2025-03-10
1100124,300302,ONT,2021-07-09
1100125,301470,RTR,2022-08-12
1100126,301668,RTR,2019-06-04
1100127,301822,RTR,2024-05-27
1100128,301299,ONT,2020-05-24
1100129,300722,SW,2018-10-08
1100130,301690,AP,2023-04-10
1100131,301691,RTR,2023-08-08
1100132,301840,RTR,2021-03-18
1100133,301221,ONT,2024-09-08
1100134,300454,ONT,2022-05-19
1100135,301186,RTR,2020-04-30
1100136,302125,ONT,2025-05-24
1100137,301453,RTR,2021-04-28
1100138,302344,ONT,2019-04-12
1100139,300640,ONT,2020-06-19
1100140,301927,RTR,2023-02-02
1100141,300078,ONT,2024-10-20
1100142,301619,ONT,2021-12-23
1100143,301526,RTR,2021-09-29
1100144,300594,SW,2024-07-25
1100145,300365,SW,2025-11-03
1100146,300154,RTR,2019-02-04
1100147,301646,RTR,2023-08-19
1100148,300543,ONT,2023-03-14
1100149,301346,RTR,2019-07-24
1100150,300710,RTR,2022-12-28
1100151,302477,ONT,2019-11-01
1100152,300534,RTR,2022-09-11
1100153,302488,RTR,2019-11-22
1100154,300254,RTR,2022-12-16
1100155,300384,RTR,2019-05-09
1100156,301866,RTR,2020-05-31
1100157,300770,AP,2022-07-16
1100158,301587,RTR,2019-06-09
1100159,302465,AP,2021-02-05
1100160,302215,RTR,2019-09-27
1100161,300613,RTR,2021-01-22
1100162,300452,RTR,2026-04-06
1100163,301010,RTR,2023-08-01
1100164,301462,RTR,2019-05-23
1100165,300492,RTR,2020-08-12
1100166,301677,ONT,2026-04-10
1100167,300825,RTR,2020-12-26
1100168,300159,SW,2020-01-20
1100169,302322,RTR,2019-11-23
1100170,300887,ONT,2024-05-08
1100171,301540,RTR,2025-07-01
1100172,301578,RTR,2019-05-04
1100173,301388,RTR,2018-08-10
1100174,300921,ONT,2018-12-04
1100175,302488,RTR,2021-11-30
1100176,301281,RTR,2024-09-12
1100177,301214,ONT,2024-07-13
1100178,300928,SW,2023-06-04
1100179,302199,RTR,2025-02-14
1100180,300207,ONT,2023-02-25
1100181,300127,RTR,2021-05-16
1100182,302399,ONT,2020-10-06
1100183,301696,ONT,2019-02-22
1100184,302097,ONT,2019-06-11
1100185,301851,RTR,2020-09-27
1100186,301602,RTR,2024-11-29
1100187,300652,ONT,2023-04-10
1100188,300762,RTR,2018-07-01
1100189,302337,RTR,2021-05-12
1100190,300347,RTR,2022-06-21
1100191,300982,RTR,2019-11-08
1100192,300570,ONT,2019-01-07
1100193,301086,RTR,2026-05-20
1100194,301788,AP,2025-08-23
1100195,300587,RTR,2023-06-08
1100196,302294,ONT,2026-05-23
1100197,301900,ONT,2019-05-31
1100198,300972,RTR,2018-06-15
1100199,300324,RTR,2022-05-21
1100200,300392,ONT,2023-01-15
1100201,301310,ONT,2021-02-07
1100202,301658,ONT,2019-11-11
1100203,301778,ONT,2022-10-24
1100204,300531,ONT,2020-07-13
1100205,300875,RTR,2024-09-15
