plan_history_id,account_id,plan_cd,effective_start,effective_end
1,300001,BUSINESS500,2025-09-20,
2,300002,BUSINESS500,2019-03-29,
3,300003,GIG1,2018-04-04,
4,300004,BUSINESS1G,2018-12-28,2020-11-27
5,300004,BASIC100,2020-11-28,
6,300005,FIBER500,2020-04-07,
7,300006,BUSINESS1G,2025-04-22,
8,300007,BUSINESS500,2019-11-19,
9,300008,FIBER500,2024-05-27,
10,300009,BUSINESS500,2018-12-16,
11,300010,BUSINESS500,2019-05-19,
12,300011,BASIC100,2022-02-03,
13,300012,FIBER500,2019-10-20,
14,300013,BUSINESS500,2019-05-04,
15,300014,GIG1,2024-09-04,
16,300015,FIBER500,2025-12-29,
17,300016,GIG1,2023-10-16,
18,300017,GIG1,2021-01-31,2022-07-19
19,300017,BUSINESS500,2022-07-20,
20,300018,BASIC100,2023-11-02,
21,300019,BUSINESS1G,2023-10-06,
22,300020,GIG1,2021-08-22,
23,300021,FIBER500,2018-08-14,2021-05-13
24,300021,BASIC100,2021-05-14,
25,300022,GIG1,2023-04-05,2024-08-30
26,300022,BUSINESS1G,2024-08-31,
27,300023,BUSINESS1G,2022-09-05,
28,300024,BUSINESS500,2023-10-23,
29,300025,GIG1,2023-03-17,2025-05-11
30,300025,FIBER500,2025-05-12,
31,300026,GIG1,2024-05-30,2025-01-02
32,300026,BASIC100,2025-01-03,
33,300027,FIBER500,2018-09-17,2021-12-23
34,300027,BUSINESS1G,2021-12-24,
35,300028,BASIC100,2023-02-13,
36,300029,BUSINESS500,2025-10-21,
37,300030,BUSINESS1G,2023-07-24,
38,300031,BUSINESS1G,2019-01-09,
39,300032,BUSINESS1G,2022-05-13,
40,300033,BUSINESS500,2024-12-27,
41,300034,BUSINESS500,2025-03-19,
42,300035,FIBER500,2020-12-22,
43,300036,BUSINESS1G,2025-09-10,
44,300037,GIG1,2018-01-15,
45,300038,GIG1,2022-02-17,
46,300039,GIG1,2019-03-25,
47,300040,BASIC100,2022-12-16,
48,300041,GIG1,2019-02-26,
49,300042,FIBER500,2019-06-04,2020-09-18
50,300042,BASIC100,2020-09-19,
51,300043,BUSINESS500,2020-03-05,
52,300044,BUSINESS1G,2023-05-14,2026-05-26
53,300044,GIG1,2026-05-27,
54,300045,GIG1,2025-12-13,
55,300046,BASIC100,2023-03-24,
56,300047,GIG1,2025-07-29,
57,300048,GIG1,2021-12-13,
58,300049,BASIC100,2019-11-06,
59,300050,BUSINESS500,2021-05-20,2022-01-06
60,300050,BASIC100,2022-01-07,
61,300051,FIBER500,2022-02-22,
62,300052,GIG1,2020-03-15,
63,300053,BASIC100,2025-05-21,
64,300054,BUSINESS1G,2021-06-18,2023-05-16
65,300054,BUSINESS500,2023-05-17,
66,300055,BUSINESS500,2019-09-21,
67,300056,BUSINESS500,2024-10-02,
68,300057,GIG1,2020-10-04,2023-10-24
69,300057,BUSINESS500,2023-10-25,
70,300058,BUSINESS1G,2025-07-28,
71,300059,GIG1,2023-11-20,
72,300060,BASIC100,2020-04-03,
73,300061,GIG1,2019-06-20,2022-06-19
74,300061,BUSINESS1G,2022-06-20,
75,300062,BASIC100,2025-04-30,
76,300063,BASIC100,2024-03-05,
