service_order_id,account_id,order_type_cd,created_timestamp,status_cd
900001,300182,MOVE,2025-01-01 03:48:40,C
900002,300183,REPAIR,2025-01-01 14:24:49,C
900003,301890,REPAIR,2025-01-01 15:25:47,C
900004,300223,DISCONNECT,2025-01-01 19:06:13,C
900005,300242,MOVE,2025-01-02 00:18:06,C
900006,301031,REPAIR,2025-01-02 14:24:44,C
900007,302344,UPGRADE,2025-01-02 19:09:04,C
900008,302048,UPGRADE,2025-01-02 19:30:52,C
900009,301202,DISCONNECT,2025-01-02 22:45:00,C
900010,301893,UPGRADE,2025-01-03 02:23:29,C
900011,302447,UPGRADE,2025-01-03 13:07:26,C
900012,301477,REPAIR,2025-01-03 18:20:27,C
900013,301997,UPGRADE,2025-01-03 20:44:37,C
900014,302206,REPAIR,2025-01-04 03:01:56,C
900015,300460,INSTALL,2025-01-04 03:47:31,C
900016,301724,REPAIR,2025-01-04 06:16:22,C
900017,302128,UPGRADE,2025-01-04 07:28:24,C
900018,300610,INSTALL,2025-01-04 08:29:16,C
900019,301244,INSTALL,2025-01-04 09:24:12,C
900020,301700,REPAIR,2025-01-04 13:12:12,C
900021,300210,REPAIR,2025-01-04 15:36:36,C
900022,300585,UPGRADE,2025-01-04 19:56:38,O
900023,300558,REPAIR,2025-01-05 02:34:27,O
900024,301421,INSTALL,2025-01-05 04:43:47,X
900025,301214,REPAIR,2025-01-05 17:05:10,C
900026,300949,UPGRADE,2025-01-05 22:39:38,C
900027,300993,REPAIR,2025-01-06 02:25:19,C
900028,300093,DISCONNECT,2025-01-06 04:32:31,C
900029,301836,REPAIR,2025-01-06 04:48:16,C
900030,301285,INSTALL,2025-01-06 09:26:36,C
900031,302154,UPGRADE,2025-01-06 11:53:06,O
900032,301274,UPGRADE,2025-01-06 12:59:17,C
900033,301972,MOVE,2025-01-06 17:47:42,C
900034,300452,INSTALL,2025-01-06 20:17:20,O
900035,301201,UPGRADE,2025-01-07 03:42:55,C
900036,301826,REPAIR,2025-01-07 04:20:40,C
900037,302279,REPAIR,2025-01-07 11:47:39,C
900038,300556,INSTALL,2025-01-07 14:51:29,X
900039,300905,REPAIR,2025-01-07 18:09:01,O
900040,301161,REPAIR,2025-01-08 08:45:31,C
900041,300681,MOVE,2025-01-08 10:10:49,C
900042,302253,REPAIR,2025-01-08 17:27:21,C
900043,301750,UPGRADE,2025-01-08 21:56:36,O
900044,302307,UPGRADE,2025-01-08 23:10:06,O
900045,301477,DISCONNECT,2025-01-09 01:09:18,O
900046,301034,INSTALL,2025-01-09 03:39:47,C
900047,302466,UPGRADE,2025-01-09 09:24:59,C
900048,301276,REPAIR,2025-01-09 09:42:35,O
900049,301194,INSTALL,2025-01-09 16:06:05,C
900050,302252,MOVE,2025-01-09 16:32:43,C
900051,301973,UPGRADE,2025-01-10 10:29:16,C
900052,300072,MOVE,2025-01-10 13:25:48,C
900053,300381,INSTALL,2025-01-10 15:47:11,C
900054,302177,REPAIR,2025-01-10 20:02:23,C
900055,300464,UPGRADE,2025-01-11 02:54:40,C
900056,300530,UPGRADE,2025-01-11 06:54:29,C
900057,300532,REPAIR,2025-01-11 08:39:47,C
900058,300466,UPGRADE,2025-01-11 09:58:50,C
900059,300190,REPAIR,2025-01-11 11:13:49,C
900060,301557,UPGRADE,2025-01-11 12:06:40,C
900061,300205,REPAIR,2025-01-11 14:59:32,C
900062,302085,UPGRADE,2025-01-11 18:37:57,O
900063,301898,UPGRADE,2025-01-11 18:51:43,C
900064,302135,REPAIR,2025-01-11 20:54:25,C
900065,301339,REPAIR,2025-01-11 21:37:04,C
900066,301981,MOVE,2025-01-11 22:12:05,C
900067,302411,INSTALL,2025-01-12 05:12:57,C
900068,300425,REPAIR,2025-01-12 13:29:23,C
900069,300204,REPAIR,2025-01-12 13:36:49,O
900070,302030,REPAIR,2025-01-12 18:11:46,C
900071,301038,REPAIR,2025-01-12 23:15:39,C
900072,301019,REPAIR,2025-01-13 00:30:05,C
900073,301962,UPGRADE,2025-01-13 01:20:27,O
900074,301991,INSTALL,2025-01-13 05:14:02,C
900075,301042,REPAIR,2025-01-13 06:25:11,C
900076,301762,UPGRADE,2025-01-13 08:29:14,C
900077,301583,MOVE,2025-01-13 11:22:56,C
900078,301952,REPAIR,2025-01-13 15:26:50,C
900079,300796,REPAIR,2025-01-13 18:02:30,C
900080,301098,REPAIR,2025-01-14 00:26:32,C
900081,300344,REPAIR,2025-01-14 01:19:42,C
900082,301961,UPGRADE,2025-01-14 01:39:50,C
900083,301833,REPAIR,2025-01-14 06:35:23,C
900084,300430,REPAIR,2025-01-14 07:39:01,O
900085,301569,INSTALL,2025-01-14 08:06:27,X
900086,300761,INSTALL,2025-01-14 10:12:37,C
900087,301344,UPGRADE,2025-01-14 16:05:01,C
900088,300059,UPGRADE,2025-01-14 21:14:37,C
900089,300835,UPGRADE,2025-01-15 00:21:22,C
900090,300176,INSTALL,2025-01-15 00:55:42,C
900091,302124,REPAIR,2025-01-15 02:47:52,C
900092,301490,UPGRADE,2025-01-15 05:31:36,O
900093,300310,UPGRADE,2025-01-15 15:58:42,C
900094,301446,REPAIR,2025-01-15 18:29:49,C
900095,300720,UPGRADE,2025-01-15 19:05:00,C
900096,300602,INSTALL,2025-01-15 21:45:04,C
900097,300347,UPGRADE,2025-01-16 00:28:44,C
900098,301056,MOVE,2025-01-16 01:26:47,C
900099,301036,UPGRADE,2025-01-16 01:57:22,C
900100,301306,REPAIR,2025-01-16 02:05:25,C
900101,300937,MOVE,2025-01-16 08:31:22,X
900102,300687,INSTALL,2025-01-16 13:34:15,C
900103,301104,UPGRADE,2025-01-16 16:38:10,C
900104,300849,REPAIR,2025-01-16 18:41:46,O
900105,300083,REPAIR,2025-01-16 20:49:47,C
900106,301247,REPAIR,2025-01-17 05:11:22,C
900107,300439,REPAIR,2025-01-17 06:14:22,C
900108,300464,MOVE,2025-01-17 12:28:31,C
900109,301703,UPGRADE,2025-01-17 22:51:17,C
900110,300945,DISCONNECT,2025-01-17 23:49:17,C
900111,302105,DISCONNECT,2025-01-18 03:10:58,C
900112,301534,MOVE,2025-01-18 05:50:27,O
900113,300088,INSTALL,2025-01-18 06:14:27,C
900114,300974,UPGRADE,2025-01-18 09:17:27,C
900115,301654,REPAIR,2025-01-18 13:53:47,C
900116,301553,UPGRADE,2025-01-18 13:57:25,C
900117,302157,REPAIR,2025-01-18 18:28:45,C
900118,301354,REPAIR,2025-01-19 02:53:59,C
900119,301393,MOVE,2025-01-19 08:02:21,C
900120,302316,REPAIR,2025-01-19 17:48:51,C
900121,302021,REPAIR,2025-01-19 18:41:43,O
900122,301670,DISCONNECT,2025-01-19 20:29:56,C
900123,300387,MOVE,2025-01-20 01:26:14,C
900124,302408,MOVE,2025-01-20 01:47:06,C
900125,300559,REPAIR,2025-01-20 02:03:48,O
900126,300818,INSTALL,2025-01-20 02:54:58,C
900127,302297,REPAIR,2025-01-20 08:37:22,C
900128,300586,REPAIR,2025-01-20 09:33:14,C
900129,301523,REPAIR,2025-01-20 12:21:25,O
900130,300255,UPGRADE,2025-01-20 16:26:04,C
900131,301577,REPAIR,2025-01-20 17:16:19,X
900132,300263,INSTALL,2025-01-20 18:29:02,C
900133,300490,INSTALL,2025-01-21 04:17:08,C
900134,300931,UPGRADE,2025-01-21 06:34:43,C
900135,300087,INSTALL,2025-01-21 15:19:56,C
900136,302129,REPAIR,2025-01-21 15:48:38,C
900137,301911,REPAIR,2025-01-21 19:32:42,C
900138,302014,REPAIR,2025-01-22 05:46:16,C
900139,301613,REPAIR,2025-01-22 07:05:14,C
900140,300644,REPAIR,2025-01-22 07:23:30,C
900141,300852,INSTALL,2025-01-22 09:00:44,C
900142,302051,MOVE,2025-01-22 12:53:31,C
900143,301514,DISCONNECT,2025-01-22 17:27:41,C
900144,302467,REPAIR,2025-01-22 22:09:43,C
900145,300482,REPAIR,2025-01-22 22:56:52,C
900146,300334,REPAIR,2025-01-23 00:04:56,C
900147,300038,UPGRADE,2025-01-23 01:29:24,C
900148,302200,UPGRADE,2025-01-23 06:19:45,C
900149,301789,MOVE,2025-01-23 06:42:00,X
900150,302195,REPAIR,2025-01-23 13:31:45,C
900151,300518,INSTALL,2025-01-23 16:00:47,C
900152,301915,REPAIR,2025-01-23 19:31:41,C
900153,301097,REPAIR,2025-01-23 21:54:14,C
900154,301876,REPAIR,2025-01-24 07:55:42,O
900155,300363,REPAIR,2025-01-24 10:43:41,C
900156,300973,REPAIR,2025-01-24 12:53:27,C
900157,302149,REPAIR,2025-01-24 18:11:23,O
900158,301837,REPAIR,2025-01-24 18:39:30,C
900159,300492,MOVE,2025-01-24 19:24:41,C
900160,300885,REPAIR,2025-01-25 01:19:59,C
900161,300136,MOVE,2025-01-25 01:41:53,C
900162,300686,MOVE,2025-01-25 12:57:09,O
900163,301824,UPGRADE,2025-01-25 14:17:27,C
900164,301493,UPGRADE,2025-01-25 17:35:02,C
900165,301304,INSTALL,2025-01-25 23:57:15,O
900166,300609,REPAIR,2025-01-26 02:47:09,C
900167,302437,UPGRADE,2025-01-26 06:57:52,C
900168,301044,REPAIR,2025-01-27 05:09:50,C
900169,300880,INSTALL,2025-01-27 07:26:09,O
900170,300616,REPAIR,2025-01-27 09:26:28,O
900171,300123,INSTALL,2025-01-27 10:46:44,X
900172,301545,INSTALL,2025-01-27 16:44:44,C
900173,300748,REPAIR,2025-01-28 01:53:42,C
900174,300183,REPAIR,2025-01-28 02:16:16,C
900175,302018,MOVE,2025-01-28 07:53:59,C
900176,301764,INSTALL,2025-01-28 08:50:40,C
900177,300168,REPAIR,2025-01-28 17:41:33,C
900178,300839,REPAIR,2025-01-28 19:03:57,C
900179,300795,REPAIR,2025-01-28 19:12:20,C
900180,300688,REPAIR,2025-01-28 19:29:36,C
900181,300020,UPGRADE,2025-01-29 05:42:09,C
900182,300637,REPAIR,2025-01-29 06:46:25,C
900183,301489,UPGRADE,2025-01-29 08:03:36,O
900184,302109,UPGRADE,2025-01-29 10:07:48,C
900185,301696,REPAIR,2025-01-29 10:57:59,C
900186,300028,REPAIR,2025-01-29 22:42:55,O
900187,302072,UPGRADE,2025-01-30 03:12:16,C
900188,301599,INSTALL,2025-01-30 03:50:47,C
900189,301270,REPAIR,2025-01-30 04:00:47,C
900190,301562,MOVE,2025-01-30 09:17:03,C
900191,301926,DISCONNECT,2025-01-30 16:48:14,O
900192,301447,REPAIR,2025-01-30 17:12:20,C
900193,302072,UPGRADE,2025-01-30 22:34:01,C
900194,300973,MOVE,2025-01-31 00:23:34,O
900195,302320,REPAIR,2025-01-31 01:43:17,C
900196,301357,UPGRADE,2025-01-31 05:59:10,C
900197,300821,INSTALL,2025-01-31 11:13:44,C
900198,300980,DISCONNECT,2025-01-31 13:53:27,C
900199,300488,DISCONNECT,2025-01-31 16:04:26,C
900200,300511,MOVE,2025-01-31 18:44:56,C
900201,301135,REPAIR,2025-01-31 21:37:24,C
900202,300662,REPAIR,2025-01-31 21:40:21,C
900203,300794,REPAIR,2025-02-01 03:10:45,C
900204,301787,MOVE,2025-02-01 09:14:49,C
900205,302479,REPAIR,2025-02-01 10:56:35,C
900206,302328,INSTALL,2025-02-01 11:07:55,C
900207,300567,INSTALL,2025-02-01 11:29:44,C
900208,302222,MOVE,2025-02-01 15:46:04,X
900209,300703,DISCONNECT,2025-02-01 16:58:00,C
900210,302262,UPGRADE,2025-02-01 17:24:30,C
900211,300052,INSTALL,2025-02-01 17:25:19,C
900212,300539,UPGRADE,2025-02-01 20:27:58,C
900213,302149,DISCONNECT,2025-02-01 20:41:45,C
900214,300580,REPAIR,2025-02-01 22:35:40,X
900215,301880,REPAIR,2025-02-01 22:51:23,O
900216,301307,INSTALL,2025-02-02 01:03:30,C
900217,302299,DISCONNECT,2025-02-02 01:23:22,C
900218,301750,REPAIR,2025-02-02 08:32:57,C
900219,302047,REPAIR,2025-02-02 10:31:21,X
900220,301601,REPAIR,2025-02-02 18:21:57,C
900221,300078,REPAIR,2025-02-02 18:33:29,C
900222,301134,UPGRADE,2025-02-02 19:10:16,C
900223,300472,INSTALL,2025-02-02 19:13:01,C
900224,301624,REPAIR,2025-02-02 20:02:27,C
900225,300532,REPAIR,2025-02-03 00:27:46,C
900226,302026,REPAIR,2025-02-03 02:12:35,C
900227,302441,DISCONNECT,2025-02-03 05:58:14,O
900228,301433,REPAIR,2025-02-03 07:42:59,C
