bill_id,account_id,adjustment_id,adjustment_type_cd,amount
536042,302361,1,CR,-75.29
537409,302454,2,DR,3.21
512837,300838,3,CR,-20.47
519104,301245,4,PROMO,-22.49
517714,301151,5,CR,-63.88
512956,300845,6,PROMO,-24.28
520704,301348,7,CR,-39.67
514450,300939,8,PROMO,-56.4
524263,301579,9,PROMO,-34.48
500972,300064,10,CR,-82.29
503237,300217,11,CR,-13.31
522227,301444,12,PROMO,-85.41
501581,300103,13,PROMO,-12.7
532774,302149,14,PROMO,-13.23
521006,301365,15,CR,-83.91
535095,302298,16,CR,-50.64
512238,300798,17,CR,-87.32
507061,300459,18,CR,-19.78
538239,301404,19,WRITE_OFF,52.54
531236,302048,20,PROMO,-14.18
512131,300791,21,CR,-45.01
505614,300368,22,CR,-83.41
501573,300103,23,CR,-5.31
526699,301741,24,CR,-12.54
505460,300358,25,DR,62.27
522812,301486,26,CR,-25.12
535594,302330,27,DR,78.33
516512,301075,28,CR,-81.42
514190,300923,29,CR,-50.21
537117,302435,30,DR,64.07
503298,300221,31,PROMO,-80.84
525500,301661,32,CR,-81.91
537378,302452,33,CR,-20.9
523923,301557,34,CR,-58.31
535076,302296,35,DR,20.45
515170,300985,36,DR,68.42
509615,300630,37,DR,39.56
518355,301195,38,CR,-17.18
530087,301972,39,PROMO,-63.45
523394,301524,40,PROMO,-51.16
508462,300552,41,DR,10.91
517513,301139,42,DR,76.39
513271,300864,43,CR,-77.59
508163,300531,44,CR,-58.66
533672,302208,45,PROMO,-56.25
521009,301365,46,PROMO,-36.16
519988,301303,47,CR,-31.57
526140,301705,48,WRITE_OFF,3.66
534789,302277,49,PROMO,-69.67
507464,300486,50,DR,39.88
502057,300135,51,CR,-51.01
530801,302018,52,DR,65.4
521443,301391,53,CR,-32.14
512953,300845,54,CR,-83.41
536022,302360,55,WRITE_OFF,17.52
518788,301222,56,CR,-84.05
505823,300382,57,CR,-26.97
512046,300785,58,PROMO,-60.93
535920,302352,59,CR,-29.08
501545,300101,60,DR,29.64
531914,302089,61,PROMO,-30.45
501840,300122,62,CR,-72.11
525098,301632,63,DR,54.82
506476,300424,64,CR,-80.6
515410,301000,65,CR,-75.56
534503,302258,66,CR,-8.42
536790,302410,67,WRITE_OFF,36.12
527596,301802,68,DR,63.51
512527,300818,69,DR,21.57
513648,300890,70,CR,-20.2
522939,301494,71,DR,55.96
533188,302178,72,CR,-61.71
502176,300143,73,DR,69.64
537506,302461,74,WRITE_OFF,61.45
533718,302210,75,DR,86.96
505310,300347,76,PROMO,-81.71
508349,300544,77,CR,-17.89
511159,300732,78,CR,-32.56
531285,302050,79,CR,-6.84
505065,300332,80,CR,-73.33
521739,301411,81,CR,-6.39
536056,302362,82,CR,-43.95
535202,302306,83,DR,2.89
535717,302338,84,DR,3.38
531712,302077,85,CR,-37.63
502080,300138,86,CR,-25.8
510955,300718,87,CR,-46.94
516921,301103,88,DR,75.64
517502,301139,89,CR,-50.92
505574,300366,90,DR,11.63
527936,301825,91,PROMO,-2.89
517285,301125,92,CR,-63.12
523306,301519,93,WRITE_OFF,12.8
533143,302175,94,CR,-11.6
533644,302206,95,DR,21.55
517853,301160,96,CR,-33.06
527988,301829,97,WRITE_OFF,69.19
506337,300413,98,PROMO,-20.57
517944,301166,99,CR,-13.7
507986,300520,100,PROMO,-66.0
514080,300916,101,WRITE_OFF,35.24
512397,300810,102,CR,-16.97
