bill_id,account_id,billing_month,bill_date,service_amount,tax_amount,adjustment_amount,total_due,load_timestamp
500001,300001,2025-09,2025-09-01,129.99,5.47,4.99,140.45,2025-09-02 00:00:00
500002,300001,2025-10,2025-10-01,129.99,5.76,0.0,135.75,2025-10-02 00:00:00
500003,300001,2025-11,2025-11-01,129.99,6.24,0.0,136.23,2025-11-04 00:00:00
500004,300001,2025-12,2025-12-01,129.99,7.17,9.99,147.15,2025-12-04 00:00:00
500005,300001,2026-01,2026-01-01,129.99,5.32,9.99,145.3,2026-01-02 00:00:00
500006,300002,2025-01,2025-01-01,129.99,7.5,0.0,137.49,2025-01-02 00:00:00
500007,300002,2025-02,2025-02-01,129.99,8.87,4.99,143.85,2025-02-02 00:00:00
500008,300002,2025-03,2025-03-01,129.99,7.28,4.99,142.26,2025-03-01 00:00:00
500009,300002,2025-04,2025-04-01,129.99,5.62,-5.0,130.61,2025-04-01 00:00:00
500010,300002,2025-05,2025-05-01,129.99,6.7,0.0,136.69,2025-05-04 00:00:00
500011,300002,2025-06,2025-06-01,129.99,7.35,0.0,137.34,2025-06-02 00:00:00
500012,300002,2025-07,2025-07-01,129.99,5.91,-5.0,130.9,2025-07-02 00:00:00
500013,300002,2025-08,2025-08-01,129.99,9.43,9.99,149.41,2025-08-03 00:00:00
500014,300002,2025-09,2025-09-01,129.99,7.7,4.99,142.68,2025-09-03 00:00:00
500015,300002,2025-10,2025-10-01,129.99,5.32,0.0,135.31,2025-10-02 00:00:00
500016,300002,2025-11,2025-11-01,129.99,8.95,0.0,138.94,2025-11-04 00:00:00
500017,300002,2025-12,2025-12-01,129.99,6.51,4.99,141.49,2025-12-03 00:00:00
500018,300002,2026-01,2026-01-01,129.99,9.13,-5.0,134.12,2026-01-02 00:00:00
500019,300002,2026-02,2026-02-01,129.99,5.24,4.99,140.22,2026-02-01 00:00:00
500020,300002,2026-03,2026-03-01,129.99,4.74,0.0,134.73,2026-03-03 00:00:00
500021,300002,2026-04,2026-04-01,129.99,5.51,0.0,135.5,2026-04-03 00:00:00
500022,300002,2026-05,2026-05-01,129.99,5.03,9.99,145.01,2026-05-01 00:00:00
500023,300002,2026-06,2026-06-01,129.99,6.78,4.99,141.76,2026-06-04 00:00:00
500024,300003,2025-01,2025-01-01,99.99,5.66,0.0,105.65,2025-01-02 00:00:00
500025,300003,2025-02,2025-02-01,99.99,3.87,0.0,103.86,2025-02-01 00:00:00
